Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2017-18,NT,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"3,31,473.00","3,54,214.03"
2017-18,NT,Primary health care,Dental services,Canadian Government,DoHAC and other,"20,61,394.10","22,02,818.01"
2017-18,NT,Primary health care,Dental services,Canadian Government,Premium rebates,"51,49,235.15","55,02,503.46"
2017-18,NT,Primary health care,Dental services,Non-government,Health insurance funds,"1,45,53,116.85","1,55,51,547.64"
2017-18,NT,Primary health care,Dental services,Non-government,Individuals,"8,27,44,378.48","8,84,21,137.37"
2017-18,NT,Primary health care,Dental services,Non-government,Other source of funds,"5,35,152.66","5,71,867.33"
2017-18,NT,Primary health care,Dental services,State and local government,State and local government,"1,59,67,640.68","1,70,63,116.27"
2017-18,NT,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"5,66,557.00","6,20,497.21"
2017-18,NT,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"71,78,532.08","78,61,978.86"
2017-18,NT,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"21,15,162.00","23,16,540.32"
2017-18,NT,Primary health care,Other health practitioners,Non-government,Health insurance funds,"59,78,014.00","65,47,163.00"
2017-18,NT,Primary health care,Other health practitioners,Non-government,Individuals,"3,60,85,526.89","3,95,21,123.03"
2017-18,NT,Primary health care,Other health practitioners,Non-government,Other source of funds,"82,06,635.00","89,87,964.42"
2017-18,NT,Primary health care,Other health practitioners,State and local government,State and local government,"10,35,179.34","11,33,735.70"
2017-18,NT,Primary health care,Public health,Canadian Government,DoHAC and other,"2,93,02,922.56","3,24,76,050.65"
2017-18,NT,Primary health care,Public health,Non-government,Individuals,"25,020.95","27,733.76"
2017-18,NT,Primary health care,Public health,Non-government,Other source of funds,"9,88,805.79","10,96,013.83"
2017-18,NT,Primary health care,Public health,State and local government,State and local government,"8,64,44,290.41","9,58,16,729.85"
2017-18,NT,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,46,638.94","4,69,044.57"
2017-18,NT,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"29,08,12,029.68","30,54,10,881.10"
2017-18,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"54,87,527.00","57,62,808.57"
2017-18,NT,Primary health care,Unreferred medical services,Non-government,Other source of funds,"1,51,25,187.35","1,58,83,941.75"
2017-18,NT,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"24,14,658.58","25,35,789.82"
2017-18,NT,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"7,66,56,029.00","8,05,01,475.53"
2017-18,NT,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"27,06,532.03","28,42,305.09"
2017-18,NT,Referred medical services,Referred medical services,Non-government,Health insurance funds,"76,49,383.97","80,33,115.00"
2017-18,NT,Referred medical services,Referred medical services,Non-government,Individuals,"1,30,79,505.00","1,37,35,637.83"
2017-18,NT,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,NT,Research,Research,Canadian Government,DoHAC and other,"1,98,48,240.31","2,18,62,711.27"
2017-18,NT,Research,Research,Non-government,Individuals,-39.75,-43.78
2017-18,NT,Research,Research,Non-government,Other source of funds,"10,69,833.76","11,78,415.12"
2017-18,NT,Research,Research,State and local government,State and local government,"68,77,532.57","75,75,558.67"
2017-18,Qld,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,79,82,370.20","1,88,92,675.31"
2017-18,Qld,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"1,59,96,13,229.35","1,82,45,46,671.53"
2017-18,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"64,60,00,000.00","69,96,26,417.97"
2017-18,Qld,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"26,65,38,776.56","29,28,63,416.96"
2017-18,Qld,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"12,52,15,866.18","13,75,77,990.35"
2017-18,Qld,Hospitals,Private hospitals,Canadian Government,Premium rebates,"63,60,88,449.65","69,89,11,577.75"
2017-18,Qld,Hospitals,Private hospitals,Non-government,Health insurance funds,"1,79,82,06,729.97","1,97,58,06,200.31"
2017-18,Qld,Hospitals,Private hospitals,Non-government,Individuals,"65,17,93,881.10","71,61,68,152.49"
2017-18,Qld,Hospitals,Private hospitals,Non-government,Other source of funds,"25,48,95,160.99","28,00,69,822.40"
2017-18,Qld,Hospitals,Private hospitals,State and local government,State and local government,"8,47,37,000.00","9,31,06,030.14"
2017-18,Qld,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"9,11,58,827.14","10,01,62,107.55"
2017-18,Qld,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"4,77,30,78,991.40","5,24,43,73,243.66"
2017-18,Qld,Hospitals,Public hospital services,Canadian Government,Premium rebates,"4,35,60,955.97","4,78,63,243.68"
2017-18,Qld,Hospitals,Public hospital services,Non-government,Health insurance funds,"12,31,45,773.57","13,53,08,237.31"
2017-18,Qld,Hospitals,Public hospital services,Non-government,Individuals,"39,16,76,535.76","43,03,60,377.91"
2017-18,Qld,Hospitals,Public hospital services,Non-government,Other source of funds,"55,06,44,113.57","60,50,28,351.65"
2017-18,Qld,Hospitals,Public hospital services,State and local government,State and local government,"5,56,99,37,536.02","6,12,00,51,124.04"
2017-18,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"22,02,000.00","24,28,439.48"
2017-18,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-22,02,000.00","-24,28,439.48"
2017-18,Qld,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Qld,Other services,Administration,Canadian Government,DoHAC and other,"36,24,32,075.16","39,93,93,609.63"
2017-18,Qld,Other services,Administration,Canadian Government,Premium rebates,"11,29,57,367.77","12,45,73,175.14"
2017-18,Qld,Other services,Administration,Non-government,Health insurance funds,"31,92,47,756.85","35,20,77,137.69"
2017-18,Qld,Other services,Administration,State and local government,State and local government,"27,44,42,296.51","30,26,64,172.71"
2017-18,Qld,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"4,73,313.31","5,06,881.60"
2017-18,Qld,Other services,Aids and appliances,Canadian Government,DoHAC and other,"12,44,49,017.79","13,32,75,180.59"
2017-18,Qld,Other services,Aids and appliances,Canadian Government,Premium rebates,"5,25,64,155.01","5,62,92,105.60"
2017-18,Qld,Other services,Aids and appliances,Non-government,Health insurance funds,"14,85,60,372.00","15,90,96,558.24"
2017-18,Qld,Other services,Aids and appliances,Non-government,Individuals,"56,86,17,671.91","60,89,45,126.75"
2017-18,Qld,Other services,Aids and appliances,Non-government,Other source of funds,"1,24,28,502.71","1,33,09,955.94"
2017-18,Qld,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"2,81,18,752.20","3,08,95,894.24"
2017-18,Qld,Other services,Patient transport services,Canadian Government,DoHAC and other,"1,71,08,557.05","1,87,98,279.72"
2017-18,Qld,Other services,Patient transport services,Canadian Government,Premium rebates,"1,37,685.67","1,51,284.16"
2017-18,Qld,Other services,Patient transport services,Non-government,Health insurance funds,"3,89,136.56","4,27,569.54"
2017-18,Qld,Other services,Patient transport services,Non-government,Other source of funds,"14,52,378.86","15,95,822.72"
2017-18,Qld,Other services,Patient transport services,State and local government,State and local government,"94,70,41,019.05","1,04,05,75,305.50"
2017-18,Qld,Primary health care,All other medications,Canadian Government,DoHAC and other,"13,66,74,902.80","14,34,48,397.90"
2017-18,Qld,Primary health care,All other medications,Canadian Government,Premium rebates,"33,83,201.33","35,49,994.49"
2017-18,Qld,Primary health care,All other medications,Non-government,Health insurance funds,"95,61,832.54","1,00,33,234.65"
2017-18,Qld,Primary health care,All other medications,Non-government,Individuals,"1,99,90,51,118.92","2,11,23,74,908.80"
2017-18,Qld,Primary health care,All other medications,Non-government,Other source of funds,"1,36,21,107.31","1,42,92,633.27"
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"9,17,72,841.22","10,08,45,233.96"
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"1,84,53,28,882.42","2,02,77,41,505.21"
2017-18,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"29,08,89,578.43","31,96,46,065.28"
2017-18,Qld,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"54,751.00","60,381.24"
2017-18,Qld,Primary health care,Community health and other,Canadian Government,DoHAC and other,"24,42,79,234.30","26,86,10,873.33"
2017-18,Qld,Primary health care,Community health and other,Canadian Government,Premium rebates,"30,361.62","33,483.82"
2017-18,Qld,Primary health care,Community health and other,Non-government,Health insurance funds,"85,810.08","94,634.23"
2017-18,Qld,Primary health care,Community health and other,Non-government,Individuals,"2,43,96,000.00","2,69,04,727.34"
2017-18,Qld,Primary health care,Community health and other,Non-government,Other source of funds,"2,48,80,701.02","2,74,39,271.89"
2017-18,Qld,Primary health care,Community health and other,State and local government,State and local government,"2,77,99,01,067.78","3,06,57,68,169.12"
2017-18,Qld,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"2,88,17,073.50","3,07,94,096.97"
2017-18,Qld,Primary health care,Dental services,Canadian Government,DoHAC and other,"5,27,85,892.08","5,64,07,316.36"
2017-18,Qld,Primary health care,Dental services,Canadian Government,Premium rebates,"14,43,71,062.68","15,42,75,780.44"
2017-18,Qld,Primary health care,Dental services,Non-government,Health insurance funds,"40,80,31,267.22","43,60,24,650.82"
2017-18,Qld,Primary health care,Dental services,Non-government,Individuals,"62,70,76,499.59","67,00,97,695.29"
2017-18,Qld,Primary health care,Dental services,Non-government,Other source of funds,"98,11,188.93","1,04,84,295.13"
2017-18,Qld,Primary health care,Dental services,State and local government,State and local government,"22,58,53,977.01","24,13,48,909.68"
2017-18,Qld,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"8,34,11,992.93","9,13,53,401.75"
2017-18,Qld,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"34,96,01,348.26","38,28,85,857.29"
2017-18,Qld,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"6,19,91,576.10","6,78,93,610.47"
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Health insurance funds,"17,52,04,787.46","19,18,85,516.41"
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"53,43,00,335.58","58,51,69,488.19"
2017-18,Qld,Primary health care,Other health practitioners,Non-government,Other source of funds,"8,32,09,497.13","9,11,31,626.92"
2017-18,Qld,Primary health care,Public health,Canadian Government,DoHAC and other,"26,35,99,440.28","28,96,57,547.63"
2017-18,Qld,Primary health care,Public health,Non-government,Individuals,"2,04,61,000.00","2,24,81,825.92"
2017-18,Qld,Primary health care,Public health,State and local government,State and local government,"18,74,05,827.96","20,59,14,921.06"
2017-18,Qld,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"4,16,73,499.37","4,46,23,692.58"
2017-18,Qld,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"2,10,89,40,423.95","2,25,83,03,850.91"
2017-18,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"16,92,53,950.00","18,12,35,949.65"
2017-18,Qld,Primary health care,Unreferred medical services,Non-government,Other source of funds,"17,17,01,292.96","18,38,56,547.44"
2017-18,Qld,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"23,67,17,131.97","25,34,75,054.57"
2017-18,Qld,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"2,82,96,22,737.00","3,02,99,40,299.20"
2017-18,Qld,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"12,33,96,777.39","13,21,32,408.93"
2017-18,Qld,Referred medical services,Referred medical services,Non-government,Health insurance funds,"34,87,52,322.76","37,34,41,555.78"
2017-18,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"60,78,93,426.85","65,09,28,043.36"
2017-18,Qld,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Qld,Research,Research,Canadian Government,DoHAC and other,"86,01,43,298.49","94,85,94,889.21"
2017-18,Qld,Research,Research,Non-government,Other source of funds,"7,49,86,685.85","8,26,97,833.12"
2017-18,Qld,Research,Research,State and local government,State and local government,"23,46,50,923.23","25,87,80,911.18"
2017-18,SA,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"1,05,77,864.88","1,08,77,615.66"
2017-18,SA,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"26,27,91,198.11","28,98,72,015.57"
2017-18,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"22,30,00,000.00","24,33,78,473.04"
2017-18,SA,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"3,78,13,948.00","4,15,99,133.86"
2017-18,SA,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"4,28,77,212.78","4,71,66,745.53"
2017-18,SA,Hospitals,Private hospitals,Canadian Government,Premium rebates,"20,49,71,198.75","22,54,88,868.15"
2017-18,SA,Hospitals,Private hospitals,Non-government,Health insurance funds,"57,94,48,643.09","63,74,51,600.42"
2017-18,SA,Hospitals,Private hospitals,Non-government,Individuals,"13,72,33,840.30","15,09,70,982.80"
2017-18,SA,Hospitals,Private hospitals,Non-government,Other source of funds,"5,44,08,590.55","5,98,54,904.38"
2017-18,SA,Hospitals,Private hospitals,State and local government,State and local government,"2,17,16,745.01","2,38,90,596.74"
2017-18,SA,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"4,56,66,702.59","5,02,37,951.20"
2017-18,SA,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"1,44,37,57,030.23","1,58,82,16,340.21"
2017-18,SA,Hospitals,Public hospital services,Canadian Government,Premium rebates,"2,10,45,106.94","2,31,51,727.52"
2017-18,SA,Hospitals,Public hospital services,Non-government,Health insurance funds,"5,94,94,010.54","6,54,49,376.21"
2017-18,SA,Hospitals,Public hospital services,Non-government,Individuals,"4,23,64,815.79","4,66,05,544.68"
2017-18,SA,Hospitals,Public hospital services,Non-government,Other source of funds,"15,97,55,841.73","17,57,47,442.33"
2017-18,SA,Hospitals,Public hospital services,State and local government,State and local government,"2,98,14,51,840.81","3,27,98,95,932.41"
2017-18,SA,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"5,59,200.00","6,18,146.41"
2017-18,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-5,59,200.00","-6,18,146.41"
2017-18,SA,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,SA,Other services,Administration,Canadian Government,DoHAC and other,"12,61,25,024.61","13,92,62,488.49"
2017-18,SA,Other services,Administration,Canadian Government,Premium rebates,"4,24,59,791.63","4,69,35,564.48"
2017-18,SA,Other services,Administration,Non-government,Health insurance funds,"12,00,02,736.43","13,26,52,468.54"
2017-18,SA,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"1,45,254.93","1,55,556.69"
2017-18,SA,Other services,Aids and appliances,Canadian Government,DoHAC and other,"4,68,61,147.35","5,01,84,629.71"
2017-18,SA,Other services,Aids and appliances,Canadian Government,Premium rebates,"2,14,51,694.45","2,29,73,089.73"
2017-18,SA,Other services,Aids and appliances,Non-government,Health insurance funds,"6,06,28,230.55","6,49,28,100.83"
2017-18,SA,Other services,Aids and appliances,Non-government,Individuals,"18,00,51,788.16","19,28,21,405.98"
2017-18,SA,Other services,Aids and appliances,Non-government,Other source of funds,"2,15,90,348.76","2,31,21,577.67"
2017-18,SA,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"93,59,550.46","1,02,96,443.85"
2017-18,SA,Other services,Patient transport services,Canadian Government,DoHAC and other,"75,43,429.44","82,98,528.66"
2017-18,SA,Other services,Patient transport services,Canadian Government,Premium rebates,"97,75,391.64","1,07,53,910.84"
2017-18,SA,Other services,Patient transport services,Non-government,Health insurance funds,"2,76,27,873.36","3,03,93,430.55"
2017-18,SA,Other services,Patient transport services,Non-government,Individuals,"9,51,42,609.59","10,46,66,409.13"
2017-18,SA,Other services,Patient transport services,Non-government,Other source of funds,"1,34,70,746.85","1,48,19,172.05"
2017-18,SA,Other services,Patient transport services,State and local government,State and local government,"21,75,01,670.29","23,92,73,643.10"
2017-18,SA,Primary health care,All other medications,Canadian Government,DoHAC and other,"5,04,56,563.56","5,16,00,626.27"
2017-18,SA,Primary health care,All other medications,Canadian Government,Premium rebates,"18,09,431.96","18,47,723.38"
2017-18,SA,Primary health care,All other medications,Non-government,Health insurance funds,"51,13,939.04","52,22,160.85"
2017-18,SA,Primary health care,All other medications,Non-government,Individuals,"76,20,99,953.43","78,64,98,096.02"
2017-18,SA,Primary health care,All other medications,Non-government,Other source of funds,"35,73,595.76","36,49,220.63"
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"2,21,41,000.15","2,43,29,794.21"
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"72,03,97,547.49","79,16,38,471.25"
2017-18,SA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"11,56,02,144.47","12,70,30,231.94"
2017-18,SA,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"2,09,119.00","2,31,162.66"
2017-18,SA,Primary health care,Community health and other,Canadian Government,DoHAC and other,"7,14,27,169.98","7,86,55,803.49"
2017-18,SA,Primary health care,Community health and other,Canadian Government,Premium rebates,"10,181.20","11,254.42"
2017-18,SA,Primary health care,Community health and other,Non-government,Health insurance funds,"28,774.80","31,808.01"
2017-18,SA,Primary health care,Community health and other,Non-government,Individuals,"1,80,64,192.29","1,99,68,375.48"
2017-18,SA,Primary health care,Community health and other,Non-government,Other source of funds,"3,64,59,895.07","4,03,03,206.64"
2017-18,SA,Primary health care,Community health and other,State and local government,State and local government,"70,71,44,340.69","78,16,85,861.53"
2017-18,SA,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"67,46,389.00","72,09,231.61"
2017-18,SA,Primary health care,Dental services,Canadian Government,DoHAC and other,"3,88,78,055.80","4,15,45,318.89"
2017-18,SA,Primary health care,Dental services,Canadian Government,Premium rebates,"6,11,62,446.30","6,53,58,555.66"
2017-18,SA,Primary health care,Dental services,Non-government,Health insurance funds,"17,28,61,444.70","18,47,20,772.95"
2017-18,SA,Primary health care,Dental services,Non-government,Individuals,"17,05,96,561.72","18,23,00,505.45"
2017-18,SA,Primary health care,Dental services,Non-government,Other source of funds,"72,27,980.02","77,23,862.65"
2017-18,SA,Primary health care,Dental services,State and local government,State and local government,"6,85,79,178.42","7,32,84,119.94"
2017-18,SA,Primary health care,Other health practitioners,Canadian Government,Department of Veterans' Affairs,"1,46,73,328.94","1,60,70,333.13"
2017-18,SA,Primary health care,Other health practitioners,Canadian Government,DoHAC and other,"12,58,84,082.92","13,78,69,133.65"
2017-18,SA,Primary health care,Other health practitioners,Canadian Government,Premium rebates,"3,03,78,593.96","3,32,70,849.93"
2017-18,SA,Primary health care,Other health practitioners,Non-government,Health insurance funds,"8,58,58,038.04","9,40,32,327.57"
2017-18,SA,Primary health care,Other health practitioners,Non-government,Individuals,"2,13,64,320.07","2,33,98,353.72"
2017-18,SA,Primary health care,Other health practitioners,Non-government,Other source of funds,"3,37,33,144.96","3,69,44,777.79"
2017-18,SA,Primary health care,Public health,Canadian Government,DoHAC and other,"8,62,17,775.79","9,48,58,920.30"
2017-18,SA,Primary health care,Public health,Non-government,Individuals,"15,26,395.93","16,79,188.56"
2017-18,SA,Primary health care,Public health,Non-government,Other source of funds,"19,49,395.22","21,44,530.18"
2017-18,SA,Primary health care,Public health,State and local government,State and local government,"10,11,44,459.87","11,12,69,046.17"
2017-18,SA,Primary health care,Unreferred medical services,Canadian Government,Department of Veterans' Affairs,"77,58,878.51","83,04,530.23"
2017-18,SA,Primary health care,Unreferred medical services,Canadian Government,DoHAC and other,"69,62,79,024.20","74,52,50,013.20"
2017-18,SA,Primary health care,Unreferred medical services,Non-government,Individuals,"5,37,85,410.00","5,75,67,928.51"
2017-18,SA,Primary health care,Unreferred medical services,Non-government,Other source of funds,"7,01,84,834.63","7,51,20,660.83"
2017-18,SA,Referred medical services,Referred medical services,Canadian Government,Department of Veterans' Affairs,"4,30,85,422.90","4,61,15,452.96"
2017-18,SA,Referred medical services,Referred medical services,Canadian Government,DoHAC and other,"95,16,96,834.00","1,01,86,25,967.55"
2017-18,SA,Referred medical services,Referred medical services,Canadian Government,Premium rebates,"5,20,89,733.15","5,57,53,001.31"
2017-18,SA,Referred medical services,Referred medical services,Non-government,Health insurance funds,"14,72,19,528.85","15,75,72,905.21"
2017-18,SA,Referred medical services,Referred medical services,Non-government,Individuals,"15,47,82,290.00","16,56,67,525.92"
2017-18,SA,Research,Research,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,SA,Research,Research,Canadian Government,DoHAC and other,"30,46,42,703.92","33,67,55,709.93"
2017-18,SA,Research,Research,Non-government,Individuals,"4,91,748.47","5,43,584.67"
2017-18,SA,Research,Research,Non-government,Other source of funds,"2,41,60,737.79","2,67,07,570.21"
2017-18,SA,Research,Research,State and local government,State and local government,"3,72,15,261.69","4,11,38,198.00"
2017-18,Tas,Capital expenditure,Capital expenditure,Canadian Government,DoHAC and other,"72,86,973.60","78,62,984.55"
2017-18,Tas,Capital expenditure,Capital expenditure,Non-government,Other source of funds,"8,53,70,655.22","10,09,62,643.83"
2017-18,Tas,Capital expenditure,Capital expenditure,State and local government,State and local government,"17,40,00,000.00","19,85,48,787.36"
2017-18,Tas,Hospitals,Private hospitals,Canadian Government,Department of Veterans' Affairs,"1,30,10,257.48","1,43,14,079.84"
2017-18,Tas,Hospitals,Private hospitals,Canadian Government,DoHAC and other,"94,77,416.69","1,04,26,972.67"
2017-18,Tas,Hospitals,Private hospitals,Canadian Government,Premium rebates,"6,27,94,598.53","6,90,87,556.37"
2017-18,Tas,Hospitals,Private hospitals,Non-government,Health insurance funds,"17,75,18,817.92","19,53,08,858.20"
2017-18,Tas,Hospitals,Private hospitals,Non-government,Individuals,"8,50,64,214.39","9,35,88,920.77"
2017-18,Tas,Hospitals,Private hospitals,Non-government,Other source of funds,"2,81,23,828.27","3,09,42,256.44"
2017-18,Tas,Hospitals,Private hospitals,State and local government,State and local government,"5,86,00,000.00","6,44,72,596.34"
2017-18,Tas,Hospitals,Public hospital services,Canadian Government,Department of Veterans' Affairs,"1,39,08,628.66","1,53,02,481.25"
2017-18,Tas,Hospitals,Public hospital services,Canadian Government,DoHAC and other,"55,38,63,891.06","60,93,63,850.43"
2017-18,Tas,Hospitals,Public hospital services,Canadian Government,Premium rebates,"58,64,754.37","64,52,490.46"
2017-18,Tas,Hospitals,Public hospital services,Non-government,Health insurance funds,"1,65,79,519.36","1,82,41,035.14"
2017-18,Tas,Hospitals,Public hospital services,Non-government,Individuals,"1,93,38,429.75","2,12,76,429.61"
2017-18,Tas,Hospitals,Public hospital services,Non-government,Other source of funds,"2,52,58,460.34","2,77,89,735.80"
2017-18,Tas,Hospitals,Public hospital services,State and local government,State and local government,"77,99,28,087.84","85,80,88,545.72"
2017-18,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Canadian Government,DoHAC and other,"1,46,400.00","1,61,258.67"
2017-18,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-1,46,400.00","-1,61,258.67"
2017-18,Tas,Other services,Administration,Canadian Government,Department of Veterans' Affairs,0,0
2017-18,Tas,Other services,Administration,Canadian Government,DoHAC and other,"3,95,47,844.18","4,35,47,873.03"
2017-18,Tas,Other services,Administration,Canadian Government,Premium rebates,"1,24,23,028.26","1,36,83,887.12"
2017-18,Tas,Other services,Administration,Non-government,Health insurance funds,"3,51,10,803.16","3,86,74,327.79"
2017-18,Tas,Other services,Administration,Non-government,Individuals,"6,25,131.48","6,88,578.37"
2017-18,Tas,Other services,Administration,Non-government,Other source of funds,"5,51,472.58","6,07,443.56"
2017-18,Tas,Other services,Administration,State and local government,State and local government,"4,04,29,173.55","4,45,32,479.18"
2017-18,Tas,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"8,048.66","8,619.49"
2017-18,Tas,Other services,Aids and appliances,Canadian Government,DoHAC and other,"1,47,27,946.70","1,57,72,480.90"
2017-18,Tas,Other services,Aids and appliances,Canadian Government,Premium rebates,"63,58,553.58","68,09,514.38"
2017-18,Tas,Other services,Aids and appliances,Non-government,Health insurance funds,"1,79,70,974.42","1,92,45,510.36"
2017-18,Tas,Other services,Aids and appliances,Non-government,Individuals,"5,67,98,129.39","6,08,26,361.55"
2017-18,Tas,Other services,Aids and appliances,Non-government,Other source of funds,"32,91,056.93","35,24,464.99"
2017-18,Tas,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"35,28,273.52","38,81,859.29"
2017-18,Tas,Other services,Patient transport services,Canadian Government,DoHAC and other,"12,89,336.32","14,18,547.10"
2017-18,Tas,Other services,Patient transport services,Canadian Government,Premium rebates,"41,522.71","45,683.91"
2017-18,Tas,Other services,Patient transport services,Non-government,Health insurance funds,"1,17,354.29","1,29,114.95"
2017-18,Tas,Other services,Patient transport services,Non-government,Individuals,"43,33,531.18","47,67,815.81"
2017-18,Tas,Other services,Patient transport services,Non-government,Other source of funds,"53,39,696.94","58,74,814.43"
2017-18,Tas,Other services,Patient transport services,State and local government,State and local government,"9,06,53,161.16","9,97,37,963.58"
2017-18,Tas,Primary health care,All other medications,Canadian Government,DoHAC and other,"1,74,13,902.97","1,81,40,489.10"
2017-18,Tas,Primary health care,All other medications,Canadian Government,Premium rebates,"5,57,642.12","5,75,606.99"
2017-18,Tas,Primary health care,All other medications,Non-government,Health insurance funds,"15,76,045.88","16,26,819.43"
2017-18,Tas,Primary health care,All other medications,Non-government,Individuals,"30,99,99,437.99","32,21,20,234.64"
2017-18,Tas,Primary health care,All other medications,Non-government,Other source of funds,"71,95,298.14","74,27,100.26"
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"93,05,637.75","1,02,25,565.68"
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"26,48,70,533.08","29,10,59,059.74"
2017-18,Tas,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"3,82,66,908.39","4,20,49,862.23"
2017-18,Tas,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"35,274.00","38,854.09"
2017-18,Tas,Primary health care,Community health and other,Canadian Government,DoHAC and other,"2,14,37,358.47","2,35,60,344.37"
2017-18,Tas,Primary health care,Community health and other,Canadian Government,Premium rebates,"6,873.28","7,570.87"
2017-18,Tas,Primary health care,Community health and other,Non-government,Health insurance funds,"19,425.72","21,397.31"
2017-18,Tas,Primary health care,Community health and other,Non-government,Individuals,"5,37,769.97","5,92,350.23"
2017-18,Tas,Primary health care,Community health and other,Non-government,Other source of funds,"13,61,829.76","15,00,046.88"
2017-18,Tas,Primary health care,Community health and other,State and local government,State and local government,"14,76,11,655.65","16,25,93,305.86"
2017-18,Tas,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"17,67,703.00","18,88,977.99"
2017-18,Tas,Primary health care,Dental services,Canadian Government,DoHAC and other,"65,85,790.65","70,37,615.33"
2017-18,Tas,Primary health care,Dental services,Canadian Government,Premium rebates,"1,39,57,731.55","1,49,15,315.35"
2017-18,Tas,Primary health care,Dental services,Non-government,Health insurance funds,"3,94,48,285.45","4,21,54,673.60"
2017-18,Tas,Primary health care,Dental services,Non-government,Individuals,"9,64,42,236.52","10,30,58,750.35"
