Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($)
2011-12,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-14,09,39,312.30","-18,57,41,212.94"
2011-12,Vic,Other services,Administration,Canadian Government,DoHAC and other,"36,38,50,957.03","47,52,66,811.06"
2011-12,Vic,Other services,Administration,Canadian Government,Premium rebates,"13,12,69,620.94","17,29,97,712.40"
2011-12,Vic,Other services,Administration,Non-government,Health insurance funds,"25,53,55,864.16","33,65,28,589.26"
2011-12,Vic,Other services,Aids and appliances,Canadian Government,Department of Veterans' Affairs,"-1,970.02","-2,256.93"
2011-12,Vic,Other services,Aids and appliances,Canadian Government,DoHAC and other,"10,60,97,200.68","13,58,01,166.80"
2011-12,Vic,Other services,Aids and appliances,Canadian Government,Premium rebates,"4,80,33,014.24","5,50,28,440.13"
2011-12,Vic,Other services,Aids and appliances,Non-government,Health insurance funds,"9,34,37,550.67","10,70,45,596.54"
2011-12,Vic,Other services,Aids and appliances,Non-government,Individuals,"79,82,48,010.14","91,45,03,150.21"
2011-12,Vic,Other services,Aids and appliances,Non-government,Other source of funds,"1,81,07,439.06","2,07,44,567.92"
2011-12,Vic,Other services,Patient transport services,Canadian Government,Department of Veterans' Affairs,"3,27,08,000.00","4,18,71,380.62"
2011-12,Vic,Other services,Patient transport services,Canadian Government,DoHAC and other,"5,24,621.61","6,71,598.11"
2011-12,Vic,Other services,Patient transport services,Canadian Government,Premium rebates,"98,37,062.49","1,25,92,986.05"
2011-12,Vic,Other services,Patient transport services,Non-government,Health insurance funds,"1,91,35,818.14","2,44,96,854.73"
2011-12,Vic,Other services,Patient transport services,Non-government,Individuals,"19,61,75,000.00","25,11,34,832.22"
2011-12,Vic,Other services,Patient transport services,Non-government,Other source of funds,"2,95,51,665.27","3,78,30,776.09"
2011-12,Vic,Other services,Patient transport services,State and local government,State and local government,"40,45,19,282.70","51,80,43,297.70"
2011-12,Vic,Primary health care,All other medications,Canadian Government,DoHAC and other,"12,63,60,456.55","15,94,52,901.75"
2011-12,Vic,Primary health care,All other medications,Canadian Government,Premium rebates,"34,17,529.03","37,88,189.50"
2011-12,Vic,Primary health care,All other medications,Non-government,Health insurance funds,"66,48,042.96","73,69,080.49"
2011-12,Vic,Primary health care,All other medications,Non-government,Individuals,"1,95,61,13,718.16","2,16,82,71,102.03"
2011-12,Vic,Primary health care,All other medications,Non-government,Other source of funds,"2,80,29,763.15","3,10,69,832.43"
2011-12,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,Department of Veterans' Affairs,"9,85,22,605.05","11,43,96,823.55"
2011-12,Vic,Primary health care,Benefit-paid pharmaceuticals,Canadian Government,DoHAC and other,"1,93,08,54,315.22","2,24,28,25,801.02"
2011-12,Vic,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"38,41,99,533.66","44,61,02,762.29"
2011-12,Vic,Primary health care,Community health and other,Canadian Government,Department of Veterans' Affairs,"78,127.92","1,02,963.29"
2011-12,Vic,Primary health care,Community health and other,Canadian Government,DoHAC and other,"14,29,70,518.73","18,27,58,614.52"
2011-12,Vic,Primary health care,Community health and other,Canadian Government,Premium rebates,"62,615.59","82,519.88"
2011-12,Vic,Primary health care,Community health and other,Non-government,Health insurance funds,"1,21,804.70","1,60,524.08"
2011-12,Vic,Primary health care,Community health and other,Non-government,Individuals,"26,00,000.00","33,28,408.63"
2011-12,Vic,Primary health care,Community health and other,Non-government,Other source of funds,"1,47,70,497.71","1,89,09,981.53"
2011-12,Vic,Primary health care,Community health and other,State and local government,State and local government,"54,84,94,130.51","70,43,28,670.13"
2011-12,Vic,Primary health care,Dental services,Canadian Government,Department of Veterans' Affairs,"1,66,84,857.10","1,86,80,509.45"
2011-12,Vic,Primary health care,Dental services,Canadian Government,DoHAC and other,"21,89,23,165.07","24,72,85,080.43"
2011-12,Vic,Primary health care,Dental services,Canadian Government,Premium rebates,"12,20,99,973.90","13,67,04,180.51"
2011-12,Vic,Primary health care,Dental services,Non-government,Health insurance funds,"23,75,18,354.50","26,59,27,591.71"
2011-12,Vic,Primary health care,Dental services,Non-government,Individuals,"1,76,76,24,775.60","1,97,94,81,376.64"
2011-12,Vic,Primary health care,Dental services,Non-government,Other source of funds,"1,42,66,703.34","1,79,10,970.26"
